year,month,day,hour,street,crash_type,severity,lighting,weather,speed_limit,pedestrians_involved,cyclists_involved,date
2019,1,24,10,Arlington Blvd,Angle,Serious Injury,Dark - Lighted,Rain,30,0,0,2019-01-24
2019,11,24,16,N Pershing Dr,Rear-End,Property Damage Only,Dawn/Dusk,Clear,25,0,0,2019-11-24
2019,2,7,5,Glebe Rd,Pedestrian Involved,Injury,Daylight,Rain,30,1,0,2019-02-07
2023,7,8,17,Washington Blvd,Pedestrian Involved,Property Damage Only,Dark - Unlighted,Cloudy,25,1,0,2023-07-08
2020,12,14,19,Clarendon Blvd,Sideswipe,Property Damage Only,Dark - Lighted,Clear,30,0,0,2020-12-14
2021,2,3,7,N Fairfax Dr,Rear-End,Property Damage Only,Dark - Unlighted,Clear,35,0,0,2021-02-03
2023,5,26,12,Wilson Blvd,Bicycle Involved,Property Damage Only,Dawn/Dusk,Rain,25,0,1,2023-05-26
2022,2,18,6,Arlington Blvd,Single Vehicle,Property Damage Only,Dark - Unlighted,Clear,30,0,0,2022-02-18
2019,1,22,12,Glebe Rd,Single Vehicle,Injury,Dark - Unlighted,Clear,25,0,0,2019-01-22
2020,2,13,14,Arlington Blvd,Head-On,Property Damage Only,Dark - Unlighted,Clear,30,0,0,2020-02-13
2021,6,7,16,Arlington Blvd,Bicycle Involved,Property Damage Only,Daylight,Clear,30,0,1,2021-06-07
2023,12,8,21,Lee Hwy,Head-On,Serious Injury,Dawn/Dusk,Snow/Ice,35,0,0,2023-12-08
2023,4,22,8,Clarendon Blvd,Single Vehicle,Property Damage Only,Daylight,Rain,30,0,0,2023-04-22
2019,6,13,12,Arlington Blvd,Rear-End,Property Damage Only,Dark - Lighted,Clear,35,0,0,2019-06-13
2020,11,16,2,N Fairfax Dr,Bicycle Involved,Serious Injury,Dawn/Dusk,Clear,30,0,1,2020-11-16
2021,3,8,17,N Pershing Dr,Pedestrian Involved,Property Damage Only,Dark - Unlighted,Clear,45,1,0,2021-03-08
2023,7,12,14,Glebe Rd,Angle,Property Damage Only,Dawn/Dusk,Cloudy,25,0,0,2023-07-12
2019,2,5,18,Lee Hwy,Single Vehicle,Serious Injury,Dawn/Dusk,Fog,25,0,0,2019-02-05
2022,7,20,16,Washington Blvd,Pedestrian Involved,Serious Injury,Dark - Unlighted,Clear,25,1,0,2022-07-20
2019,11,18,7,Arlington Blvd,Single Vehicle,Property Damage Only,Dark - Unlighted,Clear,25,0,0,2019-11-18
2021,7,6,10,Washington Blvd,Rear-End,Property Damage Only,Dark - Unlighted,Snow/Ice,30,0,0,2021-07-06
2023,2,28,10,Arlington Blvd,Single Vehicle,Property Damage Only,Dark - Lighted,Clear,30,0,0,2023-02-28
2021,3,18,6,N Pershing Dr,Rear-End,Injury,Dark - Unlighted,Clear,45,0,0,2021-03-18
2019,2,12,23,Arlington Blvd,Angle,Injury,Daylight,Clear,30,0,0,2019-02-12
2023,2,3,0,Washington Blvd,Single Vehicle,Injury,Daylight,Rain,30,0,0,2023-02-03
2020,11,16,17,N Pershing Dr,Angle,Injury,Dark - Unlighted,Clear,45,0,0,2020-11-16
2020,9,25,10,Glebe Rd,Bicycle Involved,Property Damage Only,Dark - Unlighted,Fog,45,0,1,2020-09-25
2021,8,17,16,Washington Blvd,Rear-End,Property Damage Only,Dark - Lighted,Clear,30,0,0,2021-08-17
2019,6,1,9,S Walter Reed Dr,Pedestrian Involved,Property Damage Only,Dark - Lighted,Rain,30,1,0,2019-06-01
2019,2,23,16,Wilson Blvd,Angle,Injury,Daylight,Clear,25,0,0,2019-02-23
2021,2,17,6,Glebe Rd,Sideswipe,Injury,Dawn/Dusk,Snow/Ice,30,0,0,2021-02-17
2023,3,24,15,S Walter Reed Dr,Pedestrian Involved,Injury,Dawn/Dusk,Clear,30,1,0,2023-03-24
2022,7,7,14,Columbia Pike,Rear-End,Property Damage Only,Dawn/Dusk,Clear,35,0,0,2022-07-07
2022,7,15,6,Wilson Blvd,Bicycle Involved,Property Damage Only,Daylight,Rain,25,0,1,2022-07-15
2022,12,11,9,Columbia Pike,Angle,Property Damage Only,Dark - Lighted,Cloudy,30,0,0,2022-12-11
2023,8,5,8,N Fairfax Dr,Angle,Property Damage Only,Dark - Unlighted,Snow/Ice,45,0,0,2023-08-05
2020,2,15,7,N Pershing Dr,Rear-End,Property Damage Only,Daylight,Clear,25,0,0,2020-02-15
2019,4,6,7,N Fairfax Dr,Head-On,Serious Injury,Dawn/Dusk,Snow/Ice,30,0,0,2019-04-06
2022,1,6,16,N Fairfax Dr,Rear-End,Injury,Dawn/Dusk,Snow/Ice,35,0,0,2022-01-06
2022,5,14,7,N Pershing Dr,Bicycle Involved,Injury,Dawn/Dusk,Clear,30,0,1,2022-05-14
